word	F	Ao	Ez		
oïes	1	1	0		
oiez	1	1	0		
Oil	1	1	0		
oïl	1	1	0		
oïr	1	1	0		
oïrent	1	1	0		
ome	1	1	0		
omes	1	1	0		
ooit	1	1	0		
orandroit	1	1	0		
ordres	1	1	0		
oreisons	1	1	0		
orent	1	1	0		
orferines	1	1	0		
osast	1	1	0		
ose	1	1	0		
osent	1	1	0		
oserai	1	1	0		
oseriez	1	1	0		
oseroie	1	1	0		
osez	1	1	0		
osse	1	1	0		
otroie	1	1	0		
Ou	1	1	0		
outrage	1	1	0		
outraiges	1	1	0		
ovre	1	1	0		
ovrer	1	1	0		
paines	1	1	0		
painne	1	1	0		
pains	1	1	0		
paisibles	1	1	0		
pant	1	1	0		
paranz	1	1	0		
parer	1	1	0		
paresce	1	1	0		
parjurez	1	1	0		
parjurs	1	1	0		
parlant	1	1	0		
parlé	1	1	0		
parlerai	1	1	0		
parleüre	1	1	0		
paroil	1	1	0		
parties	1	1	0		
passion	1	1	0		
paveillon	1	1	0		
pechié	1	1	0		
pechiez	1	1	0		
peitraus	1	1	0		
pendue	1	1	0		
penne	1	1	0		
pensive	1	1	0		
pensoit	1	1	0		
Pentecoste	1	1	0		
peor	1	1	0		
perdissiez	1	1	0		
perduz	1	1	0		
peres	1	1	0		
perilleusses	1	1	0		
Perles	1	1	0		
pesanz	1	1	0		
piteus	1	1	0		
piteuses	1	1	0		
plaine	1	1	0		
plaisanz	1	1	0		
ploiant	1	1	0		
ploiz	1	1	0		
plorer	1	1	0		
ploroie	1	1	0		
pluseurs	1	1	0		
poine	1	1	0		
poines	1	1	0		
poisse	1	1	0		
polissement	1	1	0		
pooirs	1	1	0		
porchaçasse	1	1	0		
porchace	1	1	0		
porchacerai	1	1	0		
porent	1	1	0		
porqis	1	1	0		
porra	1	1	0		
Porte	1	1	0		
portoient	1	1	0		
porveance	1	1	0		
povre	1	1	0		
